0.15004	0.14994	0.14999	0.15007	0.15004	0.15009	0.15	
0.25028	0.25035	0.25025	0.2503	0.25035	0.25021	0.25033	
0.50043	0.50043	0.5004	0.50043	0.50037	0.50031	0.5003	
1.0038	1.0023	1.0023	1.0002	1.001	1.0063	1.0024	
2.0016	2.0014	2.0019	2.0016	2.0021	2.0014	2.0016	
5.029	5.0307	5.0258	4.9991	5.0139	5.0144	5.0105	
10.009	10.002	10.006	10.004	10.009	10.003	10.012	
15.108	15.05	15.077	15.06	15.392	15.058	15.034	
20.057	20.363	20.282	20.076	20.036	20.047	20.028	
30.044	30.063	30.172	30.095	30.143	30.059	30.047	
40.153	40.193	40.159	40.184	40.159	40.332	40.119	
50.042	50.055	50.139	50.038	50.047	50.248	50.03	
60.035	60.039	60.039	60.066	60.156	60.184	60.027	
0.15004	0.15009	0.15004	0.15004	0.14995	0.14992	0.14994	
0.25025	0.25021	0.2502	0.25028	0.25025	0.25033	0.2503	
0.50043	0.50026	0.5003	0.50031	0.50031	0.50043	0.5003	
1.0003	1.0002	1.0004	1.0004	1.0003	1.0002	1.0003	
2.0019	2.0021	2.0008	2.0025	2.0021	2.0011	2.003	
5.004	5.0037	5.0035	5.0031	5.0026	5.0031	5.0031	
10.001	10.006	10.003	10.001	10.007	10.002	10.007	
14.999	15.011	15.007	15.011	15.004	15.016	15.014	
20.028	20.026	20.021	20.03	20.021	20.035	20.03	
30.339	30.155	30.112	30.098	30.182	30.424	30.112	
40.259	40.05	40.145	40.053	40.05	40.15	40.05	
50.047	50.042	50.05	50.03	50.077	50.081	50.042	
60.035	60.092	60.058	60.167	60.047	60.03	60.388	
0.15011	0.14994	0.14994	0.15	0.14992	0.15004	0.14994	
0.25025	0.25033	0.25025	0.25021	0.25028	0.25028	0.25033	
0.5004	0.50037	0.50035	0.5003	0.5003	0.50043	0.50037	
1.0002	1.0001	1.0001	1.0001	1.0006	1.0002	1.0001	
2.0019	2.0021	2.0021	2.0025	2.003	2.0021	2.0021	
5.0037	5.003	5.003	5.0026	5.0037	5.0035	5.0023	
10.007	10.002	10.006	10.006	10.004	10.003	10.006	
15.179	15.067	15.028	15.053	15.058	15.181	15.038	
20.047	20.045	20.05	20.045	20.03	20.057	20.047	
30.037	30.046	30.056	30.03	30.034	30.029	30.022	
40.05	40.058	40.041	40.07	40.062	40.067	40.089	
50.042	50.047	50.03	50.055	50.047	50.069	50.072	
60.105	60.603	60.058	60.047	60.078	60.039	60.083	
0.15004	0.14994	0.15	0.14997	0.15007	0.15002	0.15007	
0.25025	0.25021	0.25025	0.25021	0.25033	0.25035	0.25035	
0.50043	0.5004	0.50035	0.50035	0.50043	0.50035	0.50031	
1.002	0.9983	0.99449	0.99994	0.99711	1.0026	0.99842	
2.0014	2.0014	2.0014	2.0014	2.0016	2.0014	2.0016	
5.0031	5.0026	5.0035	5.0026	5.0031	5.003	5.0031	
10.006	10.001	10.004	10.004	10.0	10.0	10.0	
15.007	15.009	15.002	15.006	15.007	15.009	15.004	
20.021	20.025	20.026	20.026	20.021	20.019	20.025	
30.177	30.035	30.046	30.022	30.03	30.04	30.056	
40.067	40.058	40.097	40.07	40.254	40.075	40.394	
50.05	50.089	50.081	50.108	50.059	50.059	50.05	
60.047	60.047	60.044	60.053	60.035	60.027	60.044	
0.14997	0.15007	0.15007	0.15006	0.15009	0.15009	0.14999	
0.25028	0.2503	0.2503	0.25035	0.25021	0.25025	0.2503	
0.50026	0.5003	0.50026	0.50037	0.5003	0.50023	0.5004	
1.0006	1.0004	1.0003	1.0006	1.0006	1.0004	1.0002	
2.0019	2.0019	2.003	2.0016	2.0016	2.0019	2.0019	
5.018	5.0236	5.0059	5.0348	5.0105	5.0054	5.0021	
10.011	10.01	10.012	10.013	10.032	10.011	10.012	
15.004	15.012	15.0	15.031	15.249	15.178	15.07	
20.021	20.036	20.033	20.329	20.387	20.149	20.031	
30.056	30.04	30.035	30.039	30.029	30.034	30.037	
40.062	40.07	40.062	40.119	40.268	40.136	40.062	
50.055	50.072	50.134	50.207	50.212	50.059	50.025	
60.008	60.022	60.017	60.022	60.03	60.017	60.022	
0.15011	0.15009	0.14997	0.14997	0.15009	0.15	0.14999	
0.25033	0.2502	0.25042	0.25028	0.25033	0.25035	0.25028	
0.5003	0.50031	0.5004	0.50035	0.50035	0.50037	0.5003	
1.0001	1.0003	1.0004	1.0002	1.0002	1.0002	1.0004	
2.0019	2.0021	2.0014	2.0016	2.0016	2.0016	2.0019	
5.0045	5.0037	5.004	5.004	5.0048	5.0037	5.0035	
10.001	10.0	10.006	10.001	10.006	10.003	10.003	
15.023	15.011	15.0	15.028	15.014	15.012	15.014	
20.127	20.096	20.048	20.028	20.052	20.04	20.048	
30.054	30.049	30.042	30.083	30.08	30.076	30.197	
40.062	40.053	40.053	40.075	40.062	40.053	40.08	
50.081	50.042	50.134	50.238	50.047	50.038	50.042	
60.039	60.066	60.047	60.058	60.027	60.053	60.058	
